,,,,,Argentine ant Mortality,,,Monomorium Mortality,,,Individual Aggression,,,,,Maximum agression,,,,,Venom use,,,Individual Aggression Rel%,,,,,Maximum agression Rel%,,,,,Venom use Rel%,,,Combined Rel%,
24/09/2009,C,2,M. antipodum,80,0,0,8,0,0,1,5,4,12,0,0,0,1,18,2,0,19,3,0,0.24,0.19,0.57,0,0,0,0.05,0.86,0.1,0,0.86,0.14,0,4.57,1.52
24/09/2009,D,3,M. antipodum,80,0,0,8,0,0,4,3,9,8,0,0,0,1,17,4,0,18,4,0,0.15,0.45,0.4,0,0,0,0.05,0.77,0.18,0,0.82,0.18,0,4.4,2.91
29/09/2009,J,4,M. antipodum,80,0,0,12,0,0,6,3,8,10,0,0,0,0,19,2,0,18,2,0,0.14,0.38,0.48,0,0,0,0,0.9,0.1,0,0.9,0.1,0,4.48,1.52
12/10/2009,T,5,M. antipodum,80,0,0,1,0,0,10,0,4,8,10,0,0,3,6,12,0,6,11,0,0,0.18,0.36,0.45,0,0,0.14,0.29,0.57,0,0.35,0.65,0,6.64,9.14
30/09/2009,E,6,M. antipodum,80,0,0,3,0,0,10,5,6,10,1,0,0,0,3,14,0,4,17,0,0.23,0.27,0.45,0.05,0,0,0,0.18,0.82,0,0.19,0.81,0,4.68,13.18
25/09/2009,E,1,M. antipodum,160,0,0,15,0,0,2,4,8,12,0,0,0,2,15,3,0,18,2,1,0.17,0.33,0.5,0,0,0,0.1,0.75,0.15,0,0.86,0.1,0.05,4.5,2.4
24/09/2009,F,2,M. antipodum,160,1,2,23,0,0,5,5,6,12,0,0,0,1,6,14,0,6,15,0,0.22,0.26,0.52,0,0,0,0.05,0.29,0.67,0,0.29,0.71,0,4.52,10.67
21/09/2009,E,3,M. antipodum,160,0,0,14,0,1,12,9,10,5,1,0,2,7,8,3,0,19,2,0,0.36,0.4,0.2,0.04,0,0.1,0.35,0.4,0.15,0,0.9,0.1,0,4.4,2.4
30/09/2009,C,4,M. antipodum,160,0,0,5,1,1,11,3,4,13,0,0,0,0,14,6,0,13,7,0,0.15,0.2,0.65,0,0,0,0,0.7,0.3,0,0.65,0.35,0,4.65,4.8
9/10/2009,Q,5,M. antipodum,160,0,0,7,0,0,12,2,9,10,0,0,0,0,17,3,0,17,2,2,0.1,0.43,0.48,0,0,0,0,0.85,0.15,0,0.81,0.1,0.1,4.48,2.4
12/10/2009,Q,6,M. antipodum,160,0,0,5,0,0,11,1,7,10,3,1,0,0,6,13,2,5,14,2,0.05,0.32,0.45,0.14,0.05,0,0,0.29,0.62,0.1,0.24,0.67,0.1,4.95,9.9
3/09/2009,E,1,M. antarcticum,20,12,18,20,0,0,0,2,3,3,8,7,0,0,0,2,12,1,4,7,0.09,0.13,0.13,0.35,0.3,0,0,0,0.14,0.86,0.08,0.33,0.58,4.65,2.29
15/10/2009,J,2,M. antarcticum,20,13,20,20,0,0,0,1,2,3,6,6,0,0,0,3,12,0,7,9,0.06,0.11,0.17,0.33,0.33,0,0,0,0.2,0.8,0,0.44,0.56,4.5,3.2
15/10/2009,H,3,M. antarcticum,20,5,8,19,0,0,0,4,4,4,4,4,0,0,1,4,15,1,4,15,0.2,0.2,0.2,0.2,0.2,0,0,0.05,0.2,0.75,0.05,0.2,0.75,4.4,3.2
19/10/2009,D,4,M. antarcticum,20,12,18,20,0,0,1,1,1,4,6,5,0,0,0,3,15,5,8,5,0.06,0.06,0.24,0.35,0.29,0,0,0,0.17,0.83,0.28,0.44,0.28,4.82,2.67
20/10/2009,R,5,M. antarcticum,20,6,18,20,0,0,0,3,3,6,3,6,0,0,0,1,20,0,1,20,0.14,0.14,0.29,0.14,0.29,0,0,0,0.05,0.95,0,0.05,0.95,3.86,0.76
21/10/2009,Q,6,M. antarcticum,20,9,14,20,0,0,1,1,2,5,2,11,0,0,0,0,21,0,0,21,0.05,0.1,0.24,0.1,0.52,0,0,0,0,1,0,0,1,2.62,0
1/09/2009,E,1,M. antarcticum,40,11,20,40,0,0,1,4,3,3,3,11,0,0,0,2,21,0,1,18,0.17,0.13,0.13,0.13,0.46,0,0,0,0.09,0.91,0,0.05,0.95,2.92,1.39
3/09/2009,J,2,M. antarcticum,40,6,15,40,0,0,1,3,0,3,12,6,0,0,0,7,7,1,3,7,0.13,0,0.13,0.5,0.25,0,0,0,0.5,0.5,0.09,0.27,0.64,5.63,8
15/10/2009,C,3,M. antarcticum,40,6,13,35,0,0,0,3,3,4,6,6,0,0,0,0,20,0,0,20,0.14,0.14,0.18,0.27,0.27,0,0,0,0,1,0,0,1,4.45,0
19/09/2009,T,4,M. antarcticum,40,8,14,39,0,0,3,1,2,3,6,7,0,0,0,5,14,3,10,6,0.05,0.11,0.16,0.32,0.37,0,0,0,0.26,0.74,0.16,0.53,0.32,4.26,4.21
19/10/2009,R,5,M. antarcticum,40,23,29,40,0,0,0,1,0,2,3,13,0,0,0,0,21,0,0,21,0.05,0,0.11,0.16,0.68,0,0,0,0,1,0,0,1,2.16,0
21/10/2009,S,6,M. antarcticum,40,13,28,40,0,0,4,1,3,3,3,7,0,0,0,0,17,2,2,13,0.06,0.18,0.18,0.18,0.41,0,0,0,0,1,0.12,0.12,0.76,3.41,0
13/10/2009,T,1,M. antarcticum,80,7,45,78,0,0,6,0,0,1,5,11,0,0,0,0,15,0,6,10,0,0,0.06,0.29,0.65,0,0,0,0,1,0,0.38,0.63,2.94,0
15/10/2009,T,2,M. antarcticum,80,13,27,69,0,0,2,0,1,2,7,9,0,0,0,0,18,0,6,12,0,0.05,0.11,0.37,0.47,0,0,0,0,1,0,0.33,0.67,4.05,0
15/10/2009,P,3,M. antarcticum,80,17,49,76,0,0,0,1,5,3,5,8,0,0,0,0,20,0,0,20,0.05,0.23,0.14,0.23,0.36,0,0,0,0,1,0,0,1,3.82,0
20/10/2009,I,4,M. antarcticum,80,10,26,73,0,0,6,4,3,2,5,6,0,0,0,0,20,0,0,20,0.2,0.15,0.1,0.25,0.3,0,0,0,0,1,0,0,1,4.15,0
20/10/2009,A,5,M. antarcticum,80,15,22,71,0,0,2,1,1,3,5,7,0,0,0,1,16,0,3,14,0.06,0.06,0.18,0.29,0.41,0,0,0,0.06,0.94,0,0.18,0.82,4,0.94
20/10/2009,C,6,M. antarcticum,80,5,12,66,0,0,3,0,1,2,6,8,0,0,0,0,17,0,2,15,0,0.06,0.12,0.35,0.47,0,0,0,0,1,0,0.12,0.88,4,0
19/10/2009,Q,1,M. antarcticum,160,35,43,116,0,0,6,0,1,0,0,20,0,0,0,0,21,0,0,21,0,0.05,0,0,0.95,0,0,0,0,1,0,0,1,0.19,0
19/10/2009,S,2,M. antarcticum,160,40,65,136,0,0,4,0,0,1,2,16,0,0,0,0,20,0,0,20,0,0,0.05,0.11,0.84,0,0,0,0,1,0,0,1,1.21,0
20/10/2009,F,3,M. antarcticum,160,16,18,111,0,0,8,1,2,3,3,12,0,0,0,0,20,0,0,20,0.05,0.1,0.14,0.14,0.57,0,0,0,0,1,0,0,1,2.57,0
21/10/2009,B,4,M. antarcticum,160,11,20,145,0,0,3,1,3,1,2,13,0,0,0,0,21,0,0,21,0.05,0.15,0.05,0.1,0.65,0,0,0,0,1,0,0,1,1.95,0
21/10/2009,E,5,M. antarcticum,160,12,0,43,0,0,3,0,5,2,3,9,0,0,0,0,19,0,0,19,0,0.26,0.11,0.16,0.47,0,0,0,0,1,0,0,1,3,0
21/10/2009,K,6,M. antarcticum,160,15,28,140,0,0,4,1,2,1,2,14,0,0,0,0,20,0,0,20,0.05,0.1,0.05,0.1,0.7,0,0,0,0,1,0,0,1,1.75,0
16/11/2009,F,1,M. smithii,20,12,19,20,0,3,12,2,5,4,5,4,0,4,0,4,12,3,3,14,0.1,0.25,0.2,0.25,0.2,0,0.2,0,0.2,0.6,0.15,0.15,0.7,4.65,3.2
16/11/2009,H,2,M. smithii,20,7,10,20,0,0,11,1,3,4,8,4,0,0,0,11,9,1,10,9,0.05,0.15,0.2,0.4,0.2,0,0,0,0.55,0.45,0.05,0.5,0.45,5.4,8.8
16/11/2009,I,3,M. smithii,20,7,14,18,0,2,11,2,6,5,7,2,0,5,6,6,3,4,9,6,0.09,0.27,0.23,0.32,0.09,0,0.25,0.3,0.3,0.15,0.21,0.47,0.32,5.45,4.8
10/11/2009,K,4,M. smithii,20,5,16,20,0,1,11,3,5,4,7,2,0,0,0,20,0,4,14,2,0.14,0.24,0.19,0.33,0.1,0,0,0,1,0,0.2,0.7,0.1,5.48,16
10/11/2009,P,5,M. smithii,20,7,10,15,0,0,10,1,2,3,8,5,0,0,0,7,12,0,8,11,0.05,0.11,0.16,0.42,0.26,0,0,0,0.37,0.63,0,0.42,0.58,5.21,5.89
17/11/2009,R,6,M. smithii,20,3,6,20,0,2,10,2,3,3,6,6,0,0,0,4,16,0,2,18,0.1,0.15,0.15,0.3,0.3,0,0,0,0.2,0.8,0,0.1,0.9,4.45,3.2
16/11/2009,A,1,M. smithii,40,19,35,40,1,2,12,2,2,4,6,6,0,0,0,10,10,2,8,10,0.1,0.1,0.2,0.3,0.3,0,0,0,0.5,0.5,0.1,0.4,0.5,4.5,8
16/11/2009,C,2,M. smithii,40,14,34,40,1,3,12,3,5,4,5,3,0,0,2,6,12,0,8,14,0.15,0.25,0.2,0.25,0.15,0,0,0.1,0.3,0.6,0,0.36,0.64,4.85,4.8
1/09/2009,F,3,M. smithii,40,13,28,39,1,3,12,4,3,5,9,6,0,0,1,9,8,3,6,12,0.15,0.11,0.19,0.33,0.22,0,0,0.06,0.5,0.44,0.14,0.29,0.57,4.96,8
9/11/2009,T,4,M. smithii,40,20,35,39,1,7,12,2,2,2,10,3,0,0,0,15,5,3,11,5,0.11,0.11,0.11,0.53,0.16,0,0,0,0.75,0.25,0.16,0.58,0.26,6.11,12
9/11/2009,C,5,M. smithii,40,12,20,36,0,1,11,1,2,5,7,4,0,0,0,12,6,3,10,6,0.05,0.11,0.26,0.37,0.21,0,0,0,0.67,0.33,0.16,0.53,0.32,5.26,10.67
10/11/2009,S,6,M. smithii,40,17,23,31,0,1,12,2,5,2,6,4,0,0,0,7,11,2,6,11,0.11,0.26,0.11,0.32,0.21,0,0,0,0.39,0.61,0.11,0.32,0.58,4.84,6.22
16/11/2009,E,1,M. smithii,80,7,35,76,1,1,12,2,5,4,5,2,0,4,5,8,1,6,11,1,0.11,0.28,0.22,0.28,0.11,0,0.22,0.28,0.44,0.06,0.33,0.61,0.06,5.17,7.11
16/11/2009,R,2,M. smithii,80,23,32,78,0,2,12,6,6,3,4,4,0,0,2,4,12,0,5,15,0.26,0.26,0.13,0.17,0.17,0,0,0.11,0.22,0.67,0,0.25,0.75,4.3,3.56
10/11/2009,T,3,M. smithii,80,21,40,76,1,2,11,1,4,1,3,12,0,0,0,4,17,0,3,17,0.05,0.19,0.05,0.14,0.57,0,0,0,0.19,0.81,0,0.15,0.85,2.48,3.05
13/11/2009,J,4,M. smithii,80,12,19,23,1,2,12,1,5,3,10,0,0,0,0,20,0,0,17,3,0.05,0.26,0.16,0.53,0,0,0,0,1,0,0,0.85,0.15,6.79,16
13/11/2009,P,5,M. smithii,80,13,41,78,0,4,12,3,6,2,4,5,0,0,0,2,18,0,2,18,0.15,0.3,0.1,0.2,0.25,0,0,0,0.1,0.9,0,0.1,0.9,4.1,1.6
13/11/2009,T,6,M. smithii,80,18,41,80,0,1,12,2,5,6,5,3,0,0,0,7,13,1,6,13,0.1,0.24,0.29,0.24,0.14,0,0,0,0.35,0.65,0.05,0.3,0.65,4.9,5.6
9/11/2009,B,1,M. smithii,160,44,55,140,1,5,12,1,6,3,6,4,0,0,0,6,14,4,7,8,0.05,0.3,0.15,0.3,0.2,0,0,0,0.3,0.7,0.21,0.37,0.42,4.85,4.8
9/11/2009,Q,2,M. smithii,160,43,93,143,3,5,12,2,2,2,6,7,0,0,0,5,15,0,4,16,0.11,0.11,0.11,0.32,0.37,0,0,0,0.25,0.75,0,0.2,0.8,4.21,4
10/11/2009,Q,3,M. smithii,160,20,27,99,1,1,12,4,1,3,3,11,0,0,0,1,19,0,0,20,0.18,0.05,0.14,0.14,0.5,0,0,0,0.05,0.95,0,0,1,2.82,0.8
13/11/2009,S,4,M. smithii,160,23,50,127,0,2,12,2,2,2,3,11,0,0,0,0,20,0,1,19,0.1,0.1,0.1,0.15,0.55,0,0,0,0,1,0,0.05,0.95,2.65,0
13/11/2009,K,5,M. smithii,160,18,44,156,1,2,12,1,2,4,5,8,0,0,0,1,18,0,2,17,0.05,0.1,0.2,0.25,0.4,0,0,0,0.05,0.95,0,0.11,0.89,3.85,0.84
17/11/2009,D,6,M. smithii,160,11,39,128,0,3,12,1,4,4,5,6,0,0,0,8,12,0,3,17,0.05,0.2,0.2,0.25,0.3,0,0,0,0.4,0.6,0,0.15,0.85,4.25,6.4
